filename,width,height,class,xmin,ymin,xmax,ymax
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000337.png,360,640,santa,187,45,327,214
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000567.png,180,120,santa,6,41,65,116
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000001082.png,360,640,santa,245,51,462,244
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000293.png,360,640,santa,273,22,591,160
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000855.png,360,320,santa,183,129,278,174
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000001029.png,360,640,santa,247,49,454,242
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000246.png,360,640,santa,206,111,320,206
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000592.png,360,320,santa,228,105,303,182
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000441.png,180,240,santa,69,59,126,80
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000040.png,360,640,santa,265,28,378,161
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000007.png,360,640,santa,276,76,313,133
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000108.png,360,540,santa,193,152,230,188
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000427.png,180,240,santa,117,8,194,75
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000979.png,360,640,santa,294,42,387,157
/Users/varunvohra/Documents/SantaDetector/characters/santa/santa_000000280.png,360,320,santa,63,74,226,198
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000798.png,180,240,santa,94,54,133,97
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000873.png,180,240,santa,99,46,141,96
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000240.png,360,640,santa,265,64,413,237
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000204.png,180,320,santa,84,47,153,129
/Users/varunvohra/Documents/SantaDetector/characters/santa/santa_000000364.png,180,120,santa,11,21,92,97
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000199.png,180,135,santa,67,69,118,109
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000588.png,360,320,santa,209,99,286,183
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000209.png,180,160,santa,57,85,90,121
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000584.png,360,320,santa,177,105,239,172
/Users/varunvohra/Documents/SantaDetector/characters/santa/santa_000000909.png,180,120,santa,19,72,66,127
/Users/varunvohra/Documents/SantaDetector/characters/santa/santa_000000988.png,360,320,santa,36,27,244,315
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000559.png,180,160,santa,31,25,140,97
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000392.png,180,240,santa,106,26,170,89
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000852.png,360,320,santa,236,125,299,189
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000265.png,360,640,santa,282,47,429,171
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000533.png,180,320,santa,85,27,244,178
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000959.png,360,640,santa,278,9,589,348
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000184.png,180,320,santa,145,21,193,75
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000190.png,180,135,santa,68,68,116,118
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000684.png,360,640,santa,226,144,305,205
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000549.png,180,320,santa,94,31,237,174
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000771.png,180,240,santa,98,35,157,89
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000223.png,360,640,santa,238,229,307,298
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000236.png,360,320,santa,47,113,139,221
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000765.png,180,240,santa,110,29,167,90
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000724.png,120,160,santa,80,8,143,75
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000001099.png,180,120,santa,61,24,104,69
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000481.png,180,160,santa,83,18,154,108
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000394.png,180,240,santa,115,21,175,88
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000928.png,360,640,santa,249,30,467,232
/Users/varunvohra/Documents/SantaDetector/characters/santa/santa_000000890.png,180,120,santa,63,82,106,130
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000728.png,120,160,santa,78,15,143,78
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000067.png,360,640,santa,251,84,385,209
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000624.png,360,640,santa,223,133,302,198
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000400.png,180,240,santa,96,24,166,79
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000639.png,360,320,santa,163,120,220,189
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000773.png,180,240,santa,112,42,176,102
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000247.png,360,640,santa,257,147,383,285
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000806.png,180,240,santa,131,44,181,107
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000448.png,180,240,santa,68,22,137,98
/Users/varunvohra/Documents/SantaDetector/characters/santa/santa_000000081.png,360,320,santa,178,204,201,238
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000218.png,360,640,santa,202,126,271,213
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000522.png,180,320,santa,94,25,234,176
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000975.png,360,640,santa,336,41,436,149
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000140.png,360,270,santa,134,35,208,107
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000186.png,180,320,santa,134,27,204,91
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000527.png,180,160,santa,24,19,127,94
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000164.png,360,540,santa,239,106,294,151
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000568.png,180,120,santa,20,30,72,88
/Users/varunvohra/Documents/SantaDetector/characters/santa/santa_000000174.png,360,270,santa,32,10,65,44
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000467.png,180,240,santa,68,20,168,112
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000064.png,360,640,santa,284,77,398,188
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000851.png,360,320,santa,249,119,309,185
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000334.png,360,640,santa,116,87,228,213
/Users/varunvohra/Documents/SantaDetector/characters/santa/Santa_000000376.png,180,240,santa,105,29,161,110
/Users/varunvohra/Documents/SantaDetector/characters/santa/santa_000000125.png,360,270,santa,59,2,95,38
